siteID	utc_calendar_year
ARIK	2014
ARIK	2015
ARIK	2016
ARIK	2017
ARIK	2018
ARIK	2019
ARIK	2020
ARIK	2021
ARIK	2022
ARIK	2023
ARIK	2024
BIGC	2018
BIGC	2019
BIGC	2021
BIGC	2022
BIGC	2023
BIGC	2024
BLDE	2018
BLDE	2019
BLDE	2020
BLDE	2021
BLDE	2023
BLDE	2024
BLUE	2017
BLUE	2018
BLUE	2019
BLUE	2021
BLUE	2022
BLUE	2023
BLUE	2024
CARI	2016
CARI	2017
CARI	2018
CARI	2019
CARI	2020
CARI	2021
CARI	2022
CARI	2023
CARI	2024
COMO	2015
COMO	2016
COMO	2017
COMO	2018
COMO	2019
COMO	2020
COMO	2021
COMO	2022
COMO	2023
COMO	2024
CUPE	2015
CUPE	2016
CUPE	2017
CUPE	2018
CUPE	2019
CUPE	2020
CUPE	2021
CUPE	2022
CUPE	2023
CUPE	2024
GUIL	2015
GUIL	2016
GUIL	2017
GUIL	2018
GUIL	2019
GUIL	2020
GUIL	2021
GUIL	2022
GUIL	2023
GUIL	2024
HOPB	2016
HOPB	2017
HOPB	2018
HOPB	2019
HOPB	2020
HOPB	2021
HOPB	2022
HOPB	2023
HOPB	2024
KING	2015
KING	2016
KING	2017
KING	2018
KING	2019
KING	2020
KING	2021
KING	2022
KING	2023
KING	2024
LECO	2015
LECO	2016
LECO	2017
LECO	2018
LECO	2019
LECO	2020
LECO	2021
LECO	2022
LECO	2023
LECO	2024
LEWI	2016
LEWI	2017
LEWI	2018
LEWI	2019
LEWI	2020
LEWI	2021
LEWI	2022
LEWI	2023
LEWI	2024
MART	2018
MART	2019
MART	2020
MART	2021
MART	2022
MART	2023
MART	2024
MAYF	2014
MAYF	2015
MAYF	2016
MAYF	2017
MAYF	2018
MAYF	2019
MAYF	2020
MAYF	2021
MAYF	2022
MAYF	2023
MAYF	2024
MCDI	2017
MCDI	2018
MCDI	2019
MCDI	2020
MCDI	2021
MCDI	2022
MCDI	2023
MCDI	2024
MCRA	2017
MCRA	2018
MCRA	2019
MCRA	2020
MCRA	2021
MCRA	2022
MCRA	2023
MCRA	2024
OKSR	2016
OKSR	2017
OKSR	2018
OKSR	2019
OKSR	2020
OKSR	2021
OKSR	2022
OKSR	2023
OKSR	2024
POSE	2014
POSE	2015
POSE	2016
POSE	2017
POSE	2018
POSE	2019
POSE	2020
POSE	2021
POSE	2022
POSE	2023
POSE	2024
PRIN	2016
PRIN	2017
PRIN	2018
PRIN	2019
PRIN	2020
PRIN	2021
PRIN	2022
PRIN	2023
PRIN	2024
REDB	2015
REDB	2016
REDB	2017
REDB	2018
REDB	2019
REDB	2020
REDB	2021
REDB	2022
REDB	2023
REDB	2024
SYCA	2017
SYCA	2019
SYCA	2020
SYCA	2021
SYCA	2022
SYCA	2023
SYCA	2024
TECR	2019
TECR	2021
TECR	2022
TECR	2023
TECR	2024
WALK	2015
WALK	2016
WALK	2017
WALK	2018
WALK	2019
WALK	2020
WALK	2021
WALK	2022
WALK	2023
WALK	2024
WLOU	2017
WLOU	2018
WLOU	2019
WLOU	2020
WLOU	2021
WLOU	2022
WLOU	2023
WLOU	2024
